Country Code,Country Name,Indicator Name,Region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MLI,Mali,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.433810234,9.870681112454545,10.30755199090909,10.744422869363635,11.18129374781818,11.618164626272726,12.055035504727272,12.491906383181817,12.928777261636363,13.365648140090908,13.802519018545453,14.239389896999999,14.676260775454544,15.11313165390909,15.550002532363635,15.98687341081818,16.423744289272726,16.86061516772727,17.297486046181817,17.734356924636362,18.171227803090908,18.608098681545453,19.04496956,20.035975647999997,21.026981736,22.017987824,23.008993912,24.0,24.725516636666665,25.451033273333334,26.17654991,27.4073500625,28.638150215,29.8689503675,31.09975052,30.61866951,31.2312245375,31.843779565,32.4563345925,33.06888962,33.87051646,34.6721433,35.47377014,33.117589949999996,30.76140976,30.76140976
MRT,Mauritania,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.20767975,50.39283698,49.57799421,48.76315144,47.948308669999996,47.1334659,46.31862313,45.50378036,48.264608378333335,51.02543639666667,53.786264415000005,56.54709243333333,59.30792045166667,62.06874847,59.925958630000004,57.783168790000005,55.64037895,53.49758911,56.8631916025,60.228794095,63.5943965875,66.95999908
MWI,Malawi,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53665161,49.95461481181818,51.372578013636364,52.790541215454546,54.20850441727273,55.6264676190909,57.044430820909085,58.46239402272727,59.88035722454545,61.29832042636363,62.71628362818181,64.13424683,63.89886951833333,63.66349220666666,63.42811489499999,63.19273758333333,62.957360271666666,62.72198296,62.48660564833333,62.251228336666664,62.015851025,61.780473713333336,61.54509640166667,61.30971909,62.268631937500004,63.227544785,64.1864576325,65.14537048,62.14353943,63.004615785,63.86569214,64.726768495,65.58784485,66.448921205,67.30999756
NER,Niger,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.37604046,17.95013547,21.52423048,25.09832549,28.6724205,28.942130495714288,29.21184049142857,29.481550487142858,29.751260482857145,30.02097047857143,30.290680474285715,30.56039047,31.308658598333334,32.05692672666667,32.805194854999996,33.55346298333333,34.30173111166667,35.04999924,35.813332876666664,36.576666513333336,37.34000015
NGA,Nigeria,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44675064,55.390619595,55.334488549999996,55.278357505,55.22222646,55.166095415,55.10996437,55.053833325,54.99770228,54.941571235,54.885440190000004,54.829309145,54.7731781,59.91490173333333,65.05662536666667,70.198349,60.638004304999995,51.07765961,52.171494677,53.265329744,54.359164811,55.452999878,56.546834945,57.640670012,58.734505079,59.828340146,60.922175213,62.01601028,62.01601028,62.01601028,62.01601028
SDN,Sudan,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.34587097,60.36730956875,59.3887481675,58.41018676625,57.431625365,56.45306396375,55.4745025625,54.495941161249995,53.51737976,54.235359953999996,54.953340147999995,55.671320342,56.389300536,57.10728073,57.825260924,58.543241118,59.261221312,59.979201506,60.6971817,60.6971817,60.6971817,60.6971817
SEN,Senegal,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.86885071,27.755022050714285,28.641193391428573,29.527364732142857,30.41353607285714,31.29970741357143,32.18587875428571,33.072050095,33.958221435714286,34.84439277642857,35.730564117142855,36.616735457857146,37.50290679857143,38.389078139285715,39.27524948,39.9292249675,40.583200455,41.2371759425,41.89115143,43.93969472333333,45.98823801666667,48.03678131,49.9256649,51.81454849,47.674524305,43.53450012,45.625980375,47.71746063,49.808940885,51.90042114,53.000315665,54.10021019,55.200104714999995,56.29999924
SLE,Sierra Leone,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.82678986,34.560054358888884,34.29331885777778,34.02658335666666,33.759847855555556,33.49311235444444,33.226376853333335,32.95964135222222,32.692905851111114,32.42617035,34.58220215,36.73823395,38.89426575,41.050297549999996,43.20632935,44.70421982,46.20211029,47.70000076
SWZ,Eswatini,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32503891,56.516473007,57.707907104,58.899341201000006,60.090775298000004,61.282209395,62.473643492,63.665077589,64.856511686,66.047945783,67.23937988,68.26947402714286,69.29956817428571,70.32966232142857,71.35975646857143,72.3898506157143,73.41994476285714,74.45003891,75.48013305714287,76.51022720428571,77.54032135142857,78.57041549857144,79.6005096457143,80.63060379285714,81.66069794,81.804457095,81.94821625,82.091975405,82.23573456,82.379493715,82.52325287000001,82.667012025,82.81077118,82.954530335,83.09828949,83.7634258275,84.428562165,85.0936985025,85.75883483999999,86.4239711775,87.089107515,87.7542438525,88.41938019,88.849689485,89.27999878,89.27999878
TCD,Chad,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89465046,13.003158842857143,15.111667225714285,17.220175608571427,19.32868399142857,21.437192374285715,23.545700757142857,25.65420914,26.336014272499998,27.017819404999997,27.6996245375,28.38142967,28.165207947272727,27.948986224545454,27.73276450181818,27.51654277909091,27.300321056363636,27.084099333636363,26.86787761090909,26.651655888181818,26.435434165454545,26.219212442727272,26.00299072,22.31155014,23.201240158,24.090930176,24.980620194,25.870310212,26.76000023
UGA,Uganda,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.10737991,57.20148259636363,58.295585282727274,59.38968796909091,60.48379065545454,61.57789334181818,62.671996028181816,63.76609871454546,64.86020140090909,65.95430408727273,67.04840677363636,68.14250946,68.9501667025,69.757823945,70.5654811875,71.37313843,71.8328247075,72.292510985,72.7521972625,73.21188354,71.70505142,70.1982193,71.25309880666667,72.30797831333334,73.36285782,74.41773732666667,75.47261683333333,76.52749634,77.35166422666667,78.17583211333333,79.0
ZAF,South Africa,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.20049286,76.58809328187499,76.97569370375,77.363294125625,77.7508945475,78.13849496937499,78.52609539125,78.913695813125,79.301296235,79.68889665687499,80.07649707875,80.464097500625,80.8516979225,81.23929834437499,81.62689876625,82.014499188125,82.40209961,82.9762039190909,83.5503082281818,84.12441253727272,84.69851684636363,85.27262115545454,85.84672546454544,86.42082977363636,86.99493408272727,87.56903839181818,88.14314270090908,88.71724701,90.80605316,92.89485931,92.87731934,93.10214233,93.7294693,93.934684755,94.13990021,94.36791992,90.707294465,87.04666901,91.03482056,95.02297211,95.02297211,95.02297211
ZMB,Zambia,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99828339,65.33200667,65.66572995,65.99945323,66.33317651,66.66689979,67.00062307,67.33434635,67.66806963,68.00179291,68.38426971666667,68.76674652333334,69.14922333,67.544796754,65.940370178,64.335943602,62.731517026,61.12709045,68.42061614666666,75.71414184333334,83.00766754,83.47520446625,83.9427413925,84.41027831875,84.877815245,85.34535217125,85.8128890975,86.28042602375,86.74796295,87.123981475,87.5,87.5
ZWE,Zimbabwe,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79416656,78.36600799099999,78.937849422,79.509690853,80.08153228399999,80.65337371499999,81.225215146,81.79705657699999,82.36889800799999,82.940739439,83.51258087,83.51627189105263,83.51996291210526,83.52365393315789,83.52734495421052,83.53103597526315,83.53472699631578,83.53841801736841,83.54210903842105,83.54580005947368,83.54949108052632,83.55318210157895,83.55687312263159,83.56056414368422,83.56425516473685,83.56794618578948,83.57163720684211,83.57532822789474,83.57901924894738,83.58271027,85.28628031666668,86.98985036333333,88.69342041,88.83721705857143,88.98101370714286,89.12481035571429,89.26860700428571,89.41240365285714,89.55620030142858,89.69999695
