,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total,Literacy rate adult total
Country Code,BEN,BFA,BWA,CAF,CIV,GAB,GHA,GIN,KEN,LSO,MLI,MRT,MWI,NER,NGA,SDN,SEN,SLE,SWZ,TCD,UGA,ZAF,ZMB,ZWE
Country Name,Benin,Burkina Faso,Botswana,Central African Republic,Ivory Coast,Gabon,Ghana,Guinea,Kenya,Lesotho,Mali,Mauritania,Malawi,Niger,Nigeria,Sudan,Senegal,Sierra Leone,Eswatini,Chad,Uganda,South Africa,Zambia,Zimbabwe
Date,,,,,,,,,,,,,,,,,,,,,,,,
2003,33.168913842500004,21.82291985,81.18871307,46.477400585,46.800977704999994,77.5232126368421,61.977349092,29.70401955,77.91248648571428,82.76968892666666,24.0,48.76315144,62.957360271666666,21.52423048,54.7731781,58.41018676625,39.9292249675,0.0,82.091975405,27.6996245375,68.9501667025,86.42082977363636,67.544796754,83.55318210157895
2004,31.679979325,22.67255974,81.752159878,45.08814468,46.154383339999995,78.05216659052631,63.337309266,29.07597950857143,76.47362191428572,81.60810767555554,24.725516636666665,47.948308669999996,62.72198296,25.09832549,59.91490173333333,57.431625365,40.583200455,34.82678986,82.23573456,28.38142967,69.757823945,86.99493408272727,65.940370178,83.55687312263159
2005,30.1910448075,23.52219963,82.31560668600001,43.698888775,45.507788975,78.58112054421052,64.69726944,28.44793946714286,75.03475734285715,80.44652642444444,25.451033273333334,47.1334659,62.48660564833333,28.6724205,65.05662536666667,56.45306396375,41.2371759425,34.560054358888884,82.379493715,28.165207947272727,70.5654811875,87.56903839181818,64.335943602,83.56056414368422
2006,28.70211029,22.47257996,82.879053494,42.30963287,44.86119461,79.11007449789473,66.057229614,27.819899425714286,73.59589277142857,79.28494517333333,26.17654991,46.31862313,62.251228336666664,28.942130495714288,70.198349,55.4745025625,41.89115143,34.29331885777778,82.52325287000001,27.948986224545454,71.37313843,88.14314270090908,62.731517026,83.56425516473685
2007,29.409894943333335,28.29365921,83.442500302,40.920376965,44.214600245,79.63902845157894,67.417189788,27.191859384285717,72.1570282,78.12336392222221,27.4073500625,45.50378036,62.015851025,29.21184049142857,60.638004304999995,54.495941161249995,43.93969472333333,34.02658335666666,82.667012025,27.73276450181818,71.8328247075,88.71724701,61.12709045,83.56794618578948
2008,30.117679596666665,29.194479261428572,84.00594711,39.531121060000004,43.56800588,80.16798240526316,68.777149962,26.563819342857144,73.09645843714286,76.96178267111111,28.638150215,48.264608378333335,61.780473713333336,29.481550487142858,51.07765961,53.51737976,45.98823801666667,33.759847855555556,82.81077118,27.51654277909091,72.292510985,90.80605316,68.42061614666666,83.57163720684211
2009,30.82546425,30.095299312857144,84.569393918,38.141865155,42.921411515,80.69693635894737,70.137110136,25.935779301428575,74.03588867428572,75.80020142,29.8689503675,51.02543639666667,61.54509640166667,29.751260482857145,52.171494677,54.235359953999996,48.03678131,33.49311235444444,82.954530335,27.300321056363636,72.7521972625,92.89485931,75.71414184333334,83.57532822789474
2010,31.533248903333334,30.99611936428572,85.132840726,36.75260925,42.27481715,81.22589031263158,71.49707031,25.30773926,74.97531891142857,75.967201236,31.09975052,53.786264415000005,61.30971909,30.02097047857143,53.265329744,54.953340147999995,49.9256649,33.226376853333335,83.09828949,27.084099333636363,73.21188354,92.87731934,83.00766754,83.57901924894738
2011,32.241033556666665,31.89693941571429,85.69628753399999,36.83301067125,41.628222785,81.75484426631579,72.4398918125,26.981764795,75.91474914857143,76.134201052,30.61866951,56.54709243333333,62.268631937500004,30.290680474285715,54.359164811,55.671320342,51.81454849,32.95964135222222,83.7634258275,26.86787761090909,71.70505142,93.10214233,83.47520446625,83.58271027
2012,32.94881821,32.79775946714286,86.259734342,36.913412092499996,40.98162842,82.28379822,73.382713315,28.655790330000002,76.85417938571429,76.301200868,31.2312245375,59.30792045166667,63.227544785,30.56039047,55.452999878,56.389300536,47.674524305,32.692905851111114,84.428562165,26.651655888181818,70.1982193,93.7294693,83.9427413925,85.28628031666668
2013,34.517748516666664,33.698579518571435,86.82318115,36.99381351375,42.44502449,82.68102518833334,74.3255348175,30.329815865,77.79360962285715,76.468200684,31.843779565,62.06874847,64.1864576325,31.308658598333334,56.546834945,57.10728073,43.53450012,32.42617035,85.0936985025,26.435434165454545,71.25309880666667,93.934684755,84.41027831875,86.98985036333333
2014,36.08667882333333,34.59939957,86.82318115,37.074214935,43.90842056,83.07825215666666,75.26835632000001,32.0038414,78.73303986,76.6352005,32.4563345925,59.925958630000004,65.14537048,32.05692672666667,57.640670012,57.825260924,45.625980375,34.58220215,85.75883483999999,26.219212442727272,72.30797831333334,94.13990021,84.877815245,88.69342041
2015,37.65560913,35.786012652500006,86.82318115,37.15461635625,53.10541992,83.47547912499999,76.2111778225,33.90730095,79.43352318000001,77.26159994857143,33.06888962,57.783168790000005,62.14353943,32.805194854999996,58.734505079,58.543241118,47.71746063,36.73823395,86.4239711775,26.00299072,73.36285782,94.36791992,85.34535217125,88.83721705857143
2016,39.22453943666667,36.972625735,86.82318115,37.235017777500005,62.30241928,83.87270609333333,77.153999325,35.8107605,80.1340065,77.88799939714285,33.87051646,55.64037895,63.004615785,33.55346298333333,59.828340146,59.261221312,49.808940885,38.89426575,87.089107515,22.31155014,74.41773732666667,90.707294465,85.8128890975,88.98101370714286
2017,40.79346974333333,38.1592388175,86.82318115,37.31541919875,71.49941864,84.26993306166668,78.09682082750001,37.71422005,80.83448982,78.51439884571428,34.6721433,53.49758911,63.86569214,34.30173111166667,60.922175213,59.979201506,51.90042114,41.050297549999996,87.7542438525,23.201240158,75.47261683333333,87.04666901,86.28042602375,89.12481035571429
2018,42.36240005,39.3458519,86.82318115,37.39582062,80.696418,84.66716003,79.03964233,39.6176796,81.53497314,79.14079829428572,35.47377014,56.8631916025,64.726768495,35.04999924,62.01601028,60.6971817,53.000315665,43.20632935,88.41938019,24.090930176,76.52749634,91.03482056,86.74796295,89.26860700428571
2019,43.52160008333333,41.57723490666667,86.82318115,37.44291115,89.89341736,84.93143971333333,79.70981979000001,41.521787010000004,81.89664967666667,79.76719774285715,33.117589949999996,60.228794095,65.58784485,35.813332876666664,62.01601028,60.6971817,54.10021019,44.70421982,88.849689485,24.980620194,77.35166422666667,95.02297211,87.123981475,89.41240365285714
2020,44.68080011666667,43.80861791333333,86.82318115,37.49000168,89.89341736,85.19571939666668,80.37999725,43.42589442,82.25832621333333,80.39359719142857,30.76140976,63.5943965875,66.448921205,36.576666513333336,62.01601028,60.6971817,55.200104714999995,46.20211029,89.27999878,25.870310212,78.17583211333333,95.02297211,87.5,89.55620030142858
2021,45.84000015,46.04000092,86.82318115,37.49000168,89.89341736,85.45999908,80.37999725,45.33000183,82.62000275,81.01999664,30.76140976,66.95999908,67.30999756,37.34000015,62.01601028,60.6971817,56.29999924,47.70000076,89.27999878,26.76000023,79.0,95.02297211,87.5,89.69999695
